id,Text,image
D2,"穿过小溪，在松软的草地上，一个锃亮的急救箱半开着。
看到救命稻草，你扑了上去，手忙脚乱地打开了急救箱。
万幸，里面真的有止血带和药物。经过仔细的处理，你确信自己已经完全止住了血。
锋利的手术刀吸引了你的注意力。“带上吧，或许有用。”
合上急救箱，眼前呈现出两条路。",
D3,"又是一处分岔路口。",
D4,"泥路越走越软，很快你就后悔了。前面还有路，但走着走着，双腿就陷进地里拔不出来。你低头看，脚边的地面不断冒出气泡。
这不是路，是沼泽。",
D5,"穿过树木丛生的小路，一颗高大的树吸引了你的注意。树上挂着一个个饱满的坚果，饱受饥饿折磨的你面临着一个选择。",
D6,"你顺着树干往上爬，枝丫越来越细，手里的树皮有些湿滑。够到那串坚果的时候，脚下一空，树枝断了。
你狠狠摔在地上，旧伤被崩裂开来，这次你不可能止住血了。",
D7,"你绕过坚果树，继续向前走。植被越来越密，树和树挤在一起，藤蔓挂在头顶，遮天蔽日。回头看，来时的路已经分不清是哪条了。",
D8,"你迷失了。在迷雾中等待着死亡。",
E0,"灌木后面有个人靠着石头坐着，一条腿伸在面前，裤腿被血浸透了。她抬头看你，随后又无力地低下头去。",
E1,"小心穿过一片片尖刺，你看到面前的荆棘丛里卡着一个反光物件。",
E2,"你来到一处难以分辨位置的树林。",
E3,"你凭借求生手册上的知识处理好他的骨折伤。他十分感激地告诉了你信号塔的位置，并建议你立刻前往。",
E4,"直觉果然不可靠。你迷失了，在迷雾中等待着死亡。",
E5,"你成功来到信号塔前。
铁塔立在一片空地上，锈迹爬满了底座。操作台的面板碎了，电池的位置空空如也。电台被一个密码锁锁住。整个装置非常复杂，没有相关知识无法使用。
你很清楚。只要激活这个仪器，你就可以呼叫直升机救援，逃出这个鬼地方。",
E6,"你尝试了所有方法，但都是徒劳。砸不开，撬不动，密码猜不到。
“就差一点。”你靠着铁塔坐下来，就这么坐着，直到最后一丝体温从身体里逃走。",
End,"你输入密码，给电台装上电池，按照求生手册上说的方法呼叫了直升机救援。
你靠着铁塔坐下来，就这么坐着。铁塔在风中摇晃，吱呀作响。
终于，远处传来轰隆隆的声音。一架直升机从树梢上方冒出来，旋翼卷起的风把树叶卷起又吹散。
得救了。
“听从树的指引，在循环往复中寻找出路。”回头望向身后层层叠叠的树，风吹过来，你打了个寒战，就好像自己死过一样。"
